Job Title,company_name,location,hiring_status,date,seniority_level,old description,employment_type,industry,cleaned_description,Job Description
Analyst Bioanalytical Lab Operations st shift,Labcorp,"Indianapolis, IN",Be an early applicant,2023-04-01,Mid-Senior level,management and manufacturing,Full-time,Hospitals and Health Care,management manufacturing,"['big datum manufacturing', 'risk management framework iso', 'influencer management', 'network security incident management', 'big datum access control management']"
General Manager of Production,Riverside,"Great Parndon, England, United Kingdom",Be an early applicant,2023-03-31,Executive,management and manufacturing,Full-time,Medical Practices,management manufacturing,"['big datum manufacturing', 'risk management framework iso', 'influencer management', 'network security incident management', 'big datum access control management']"
Web Designer in Grafiker in ,"
            Kreativagentur Friedli
          ","
            Wohlenschwil, Aargau, Switzerland
          ","
         Be an early applicant
      ",2023-03-08,"
            Mid-Senior level
          ",marketing ,"
          Full-time
        ","
          Professional Services
          ",market,"['market millennial', 'market client', 'market segmentation', 'market segmentation target', 'market researcher']"
Full Stack Developer Node js Java and React js,Sugoi Labs,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-14,Entry level,engineering and information technology,Full-time,"IT Services and IT Consulting and Technology, Information and Internet",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Executive Assistant ,"
            Alliants
          ","
            Southampton, England, United Kingdom
          ","
         Be an early applicant
      ",2023-02-22,"
            Mid-Senior level
          ",administrative ,"
          Full-time
        ","
          Hospitality
          ",administrative,[]
Brand Manager ,"
            GlowUp
          ","
            Mumbai, Maharashtra, India
          ",Be an early applicant,2023-03-16,"
            Mid-Senior level
          ",marketing and sales ,"
          Full-time
        ","
          Staffing and Recruiting
          ",marketing sale,"['agile marketing', 'marketing automation workflow', 'social medium influencer marketing', 'emotional intelligence marketing', 'marketing analytic datum visualization']"
Executive Assistant ,"
            Government of Jersey
          ","
            St. Helier, Jersey
          ","
         Be an early applicant
      ",2023-02-27,"
            Mid-Senior level
          ",administrative ,"
          Full-time
        ","
          Government Administration
          ",administrative,[]
Technical Writer Remote ,HTTPie,Czechia,Be an early applicant,2023-03-30,Mid-Senior level,marketing public relations and writing editing,Full-time,Software Development,market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
HR Business Partner Manager HRBP ,Masons of California,"Covina, CA",Be an early applicant,2023-04-08,Mid-Senior level,human resources,Full-time,"Technology, Information and Internet",human resource,"['human resource coordinator', 'human resource manager', 'human resource management', 'ai human robot interaction', 'datum analysis resource allocation']"
Machine Learning Engineer ,"
            Extend Information Systems Inc.
          ","
            Boston, MA
          ","
         Actively Hiring
      ",2022-12-05,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
