Job Title,old description,cleaned_description,Job Description
 Business Development Manager,"sales,management,sales management,educational sales",sale management sale management educational sale,"['sale manager', 'sale analysis', 'influencer management', 'sale funnel optimization', 'sale forecasting']"
 Looking for a Job Change With a good package,"outbound,antivirus,technical support,technical support associate,process,sales,inbound calls,us shift,comp",outbound antivirus technical support technical support associate process sale inbound call shift comp,"['support', 'technical support engineer', 'technical support specialist', 'customer support', 'retail sale associate']"
 Huge Requirement for Customer Care Executive with Fixed Salary,"technical support,english,comp,customer care executive,inbound calls,antivirus,issue,software",technical support english comp customer care executive inbound call antivirus issue software,"['customer support', 'support', 'technical support engineer']"
Assistant Manager – BI&I (data Automation),"c#,application development,senior level,ms sql,visual basic,power bi,msbi,ssis,recruitment,data integration",development senior level ms sql visual basic power bi msbi ssis recruitment datum integration,"['power bi integration', 'power bi', 'power bi', 'power bi desktop integration publishing', 'microsoft power bi']"
 Field Sales Executive,"escalation management,field sales executive,sales achievement,training,insurance sales",escalation management field sale executive sale achievement training insurance sale,"['sale manager', 'security incident escalation protocol', 'sale analysis', 'security incident response team sirt escalation path', 'training support']"
 Sr. Manager Sales Capability Building,"team management,salesforce,usage,sales,skill development,training,productivity improvement,training management,sales budgeting,tsi",team management salesforce usage sale skill development training productivity improvement training management sale budgeting tsi,"['training support', 'security training development', 'training program development', 'security incident management training', 'productivity tracking']"
 Service Ops Expert - Servc Del | Microland,"networking,unix,change management,scheduling,publishing,incident management,vmware,problem management,remedy,sip",networking unix change management scheduling publishing incident management vmware problem management remedy sip,"['change management', 'influencer management', 'vmware', 'security incident management training', 'network security incident management']"
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),"planning,training,training manager,trainer,faculty",planning training training manager trainer faculty,"['training support', 'security training development', 'training program development', 'datum science education training', 'security incident management training']"
 Sales Manager,"sales,billing,ms office,business reporting,insurance sales,mis preparation,usage,corporate,networking,retail",sale billing ms office business reporting insurance sale mis preparation usage corporate networking retail,"['retail sale associate', 'peer networking', 'corporate attorney', 'executive reporting']"
 Field Support Team-Supervisor,"customer support,support service,field support,team,management,supervisor,self motivated,continuous improvement,give,enthusiastic",customer support support service field support team management supervisor self motivate continuous improvement enthusiastic,"['support', 'customer support', 'datum analysis continuous improvement', 'training support', 'security incident response team sirt continuous improvement']"
 Sr. C# Developer,"javascript,sql,xml,server,css,technical,software,developing,html,tracking,database,web,application development,net,programming,ajax,development,dom,solid,data integrity,stored procedures,reporting tools,application,applications",javascript sql xml server css technical software develop html tracking database web application development net programming ajax development dom solid datum integrity store procedure report tool application application,"['decentralize application dapps', 'store procedure', 'web application security', 'desktop application development electron', 'bap advanced business application programming']"
 Sr Structural Engineer,"senior design engineer,engineering design,sacs",senior design engineer engineering design sac,"['experiment design', 'nuclear engineer', 'software engineer', 'graphic design', 'technical support engineer']"
 IT Security Head ,"c,python,six sigma,pmp,.net,html,javascript,sql,oracle,assembly language,real time operating systems",c python sigma html javascript sql oracle assembly language real time operating system,"['real time system', 'real time operating system rtos', 'real time datum processing', 'real time analytic architecture', 'real time datum visualization']"
